,Origin ISO,Destination ISO,colony_of_destination_ever
250,AFG,BGD,0.0
251,AFG,BGR,0.0
252,AFG,BHR,0.0
253,AFG,BHS,0.0
254,AFG,BIH,0.0
255,AFG,BLR,0.0
256,AFG,BLZ,0.0
257,AFG,BMU,0.0
258,AFG,BOL,0.0
259,AFG,BRA,0.0
260,AFG,BRB,0.0
261,AFG,BRN,0.0
262,AFG,BTN,0.0
263,AFG,BWA,0.0
264,AFG,CAF,0.0
265,AFG,CAN,0.0
266,AFG,CHE,0.0
267,AFG,CHL,0.0
268,AFG,CHN,0.0
269,AFG,CIV,0.0
270,AFG,CMR,0.0
271,AFG,COD,0.0
272,AFG,COG,0.0
273,AFG,COK,0.0
274,AFG,COL,0.0
275,AFG,COM,0.0
276,AFG,CPV,0.0
277,AFG,CRI,0.0
278,AFG,CUB,0.0
279,AFG,CUW,0.0
280,AFG,CYM,0.0
281,AFG,CYP,0.0
282,AFG,CZE,0.0
283,AFG,DEU,0.0
284,AFG,DJI,0.0
285,AFG,DMA,0.0
286,AFG,DNK,0.0
287,AFG,DOM,0.0
288,AFG,DZA,0.0
289,AFG,ECU,0.0
290,AFG,EGY,0.0
291,AFG,ERI,0.0
292,AFG,ESH,0.0
293,AFG,ESP,0.0
294,AFG,EST,0.0
295,AFG,ETH,0.0
296,AFG,FIN,0.0
297,AFG,FJI,0.0
298,AFG,FLK,0.0
299,AFG,FRA,0.0
300,AFG,FRO,0.0
301,AFG,FSM,0.0
302,AFG,GAB,0.0
303,AFG,GBR,0.0
304,AFG,GEO,0.0
305,AFG,GHA,0.0
306,AFG,GIB,0.0
307,AFG,GIN,0.0
308,AFG,GLP,0.0
309,AFG,GMB,0.0
310,AFG,GNB,0.0
311,AFG,GNQ,0.0
312,AFG,GRC,0.0
313,AFG,GRD,0.0
314,AFG,GRL,0.0
315,AFG,GTM,0.0
316,AFG,GUF,0.0
317,AFG,GUM,0.0
318,AFG,GUY,0.0
319,AFG,HKG,0.0
320,AFG,HND,0.0
321,AFG,HRV,0.0
322,AFG,HTI,0.0
323,AFG,HUN,0.0
324,AFG,IDN,0.0
325,AFG,IMN,0.0
326,AFG,IND,0.0
327,AFG,IRL,0.0
328,AFG,IRN,0.0
329,AFG,IRQ,0.0
330,AFG,ISL,0.0
331,AFG,ISR,0.0
332,AFG,ITA,0.0
333,AFG,JAM,0.0
334,AFG,JOR,0.0
335,AFG,JPN,0.0
336,AFG,KAZ,0.0
337,AFG,KEN,0.0
338,AFG,KGZ,0.0
339,AFG,KHM,0.0
340,AFG,KIR,0.0
341,AFG,KNA,0.0
342,AFG,KOR,0.0
343,AFG,KWT,0.0
344,AFG,LAO,0.0
345,AFG,LBN,0.0
346,AFG,LBR,0.0
347,AFG,LBY,0.0
348,AFG,LCA,0.0
349,AFG,LIE,0.0
350,AFG,LKA,0.0
351,AFG,LSO,0.0
352,AFG,LTU,0.0
353,AFG,LUX,0.0
354,AFG,LVA,0.0
355,AFG,MAC,0.0
356,AFG,MAR,0.0
357,AFG,MCO,0.0
358,AFG,MDA,0.0
359,AFG,MDG,0.0
360,AFG,MDV,0.0
361,AFG,MEX,0.0
362,AFG,MHL,0.0
363,AFG,MKD,0.0
364,AFG,MLI,0.0
365,AFG,MLT,0.0
366,AFG,MMR,0.0
367,AFG,MNE,0.0
368,AFG,MNG,0.0
369,AFG,MNP,0.0
370,AFG,MOZ,0.0
371,AFG,MRT,0.0
372,AFG,MSR,0.0
373,AFG,MTQ,0.0
374,AFG,MUS,0.0
375,AFG,MWI,0.0
376,AFG,MYS,0.0
377,AFG,MYT,0.0
378,AFG,NAM,0.0
379,AFG,NCL,0.0
380,AFG,NER,0.0
381,AFG,NGA,0.0
382,AFG,NIC,0.0
383,AFG,NIU,0.0
384,AFG,NLD,0.0
385,AFG,NOR,0.0
386,AFG,NPL,0.0
387,AFG,NRU,0.0
388,AFG,NZL,0.0
389,AFG,OMN,0.0
390,AFG,PAK,0.0
391,AFG,PAN,0.0
392,AFG,PER,0.0
393,AFG,PHL,0.0
394,AFG,PLW,0.0
395,AFG,PNG,0.0
396,AFG,POL,0.0
397,AFG,PRI,0.0
398,AFG,PRK,0.0
399,AFG,PRT,0.0
400,AFG,PRY,0.0
401,AFG,PSE,0.0
402,AFG,PYF,0.0
403,AFG,QAT,0.0
404,AFG,REU,0.0
405,AFG,ROU,0.0
406,AFG,RUS,0.0
407,AFG,RWA,0.0
408,AFG,SAU,0.0
409,AFG,SDN,0.0
410,AFG,SEN,0.0
411,AFG,SGP,0.0
412,AFG,SHN,0.0
413,AFG,SLB,0.0
414,AFG,SLE,0.0
415,AFG,SLV,0.0
416,AFG,SMR,0.0
417,AFG,SOM,0.0
418,AFG,SPM,0.0
419,AFG,SRB,0.0
420,AFG,SSD,0.0
421,AFG,STP,0.0
422,AFG,SUR,0.0
423,AFG,SVK,0.0
424,AFG,SVN,0.0
425,AFG,SWE,0.0
426,AFG,SWZ,0.0
427,AFG,SXM,0.0
428,AFG,SYC,0.0
429,AFG,SYR,0.0
430,AFG,TCA,0.0
431,AFG,TCD,0.0
432,AFG,TGO,0.0
433,AFG,THA,0.0
434,AFG,TJK,0.0
435,AFG,TKL,0.0
436,AFG,TKM,0.0
437,AFG,TLS,0.0
438,AFG,TON,0.0
439,AFG,TTO,0.0
440,AFG,TUN,0.0
441,AFG,TUR,0.0
442,AFG,TUV,0.0
443,AFG,TWN,0.0
444,AFG,TZA,0.0
445,AFG,UGA,0.0
446,AFG,UKR,0.0
447,AFG,URY,0.0
448,AFG,USA,0.0
449,AFG,UZB,0.0
450,AFG,VCT,0.0
451,AFG,VEN,0.0
452,AFG,VGB,0.0
453,AFG,VIR,0.0
454,AFG,VNM,0.0
455,AFG,VUT,0.0
456,AFG,WLF,0.0
457,AFG,WSM,0.0
458,AFG,YEM,0.0
459,AFG,ZAF,0.0
460,AFG,ZMB,0.0
461,AFG,ZWE,0.0
462,AGO,ABW,0.0
463,AGO,AFG,0.0
464,AGO,AGO,0.0
465,AGO,AIA,0.0
466,AGO,ALB,0.0
467,AGO,AND,0.0
468,AGO,ARE,0.0
469,AGO,ARG,0.0
470,AGO,ARM,0.0
471,AGO,ASM,0.0
472,AGO,ATG,0.0
473,AGO,AUS,0.0
474,AGO,AUT,0.0
475,AGO,AZE,0.0
476,AGO,BDI,0.0
477,AGO,BEL,0.0
478,AGO,BEN,0.0
479,AGO,BES,0.0
480,AGO,BFA,0.0
481,AGO,BGD,0.0
482,AGO,BGR,0.0
483,AGO,BHR,0.0
484,AGO,BHS,0.0
485,AGO,BIH,0.0
486,AGO,BLR,0.0
487,AGO,BLZ,0.0
488,AGO,BMU,0.0
489,AGO,BOL,0.0
490,AGO,BRA,0.0
491,AGO,BRB,0.0
492,AGO,BRN,0.0
493,AGO,BTN,0.0
494,AGO,BWA,0.0
495,AGO,CAF,0.0
496,AGO,CAN,0.0
497,AGO,CHE,0.0
498,AGO,CHL,0.0
499,AGO,CHN,0.0
500,AGO,CIV,0.0
501,AGO,CMR,0.0
502,AGO,COD,0.0
503,AGO,COG,0.0
504,AGO,COK,0.0
505,AGO,COL,0.0
506,AGO,COM,0.0
507,AGO,CPV,0.0
508,AGO,CRI,0.0
509,AGO,CUB,0.0
510,AGO,CUW,0.0
511,AGO,CYM,0.0
512,AGO,CYP,0.0
513,AGO,CZE,0.0
514,AGO,DEU,0.0
515,AGO,DJI,0.0
516,AGO,DMA,0.0
517,AGO,DNK,0.0
518,AGO,DOM,0.0
519,AGO,DZA,0.0
520,AGO,ECU,0.0
521,AGO,EGY,0.0
522,AGO,ERI,0.0
523,AGO,ESH,0.0
524,AGO,ESP,0.0
525,AGO,EST,0.0
526,AGO,ETH,0.0
527,AGO,FIN,0.0
528,AGO,FJI,0.0
529,AGO,FLK,0.0
530,AGO,FRA,0.0
531,AGO,FRO,0.0
532,AGO,FSM,0.0
533,AGO,GAB,0.0
534,AGO,GBR,0.0
535,AGO,GEO,0.0
536,AGO,GHA,0.0
537,AGO,GIB,0.0
538,AGO,GIN,0.0
539,AGO,GLP,0.0
540,AGO,GMB,0.0
541,AGO,GNB,0.0
542,AGO,GNQ,0.0
543,AGO,GRC,0.0
544,AGO,GRD,0.0
545,AGO,GRL,0.0
546,AGO,GTM,0.0
547,AGO,GUF,0.0
548,AGO,GUM,0.0
549,AGO,GUY,0.0
550,AGO,HKG,0.0
551,AGO,HND,0.0
552,AGO,HRV,0.0
553,AGO,HTI,0.0
554,AGO,HUN,0.0
555,AGO,IDN,0.0
556,AGO,IMN,0.0
557,AGO,IND,0.0
558,AGO,IRL,0.0
559,AGO,IRN,0.0
560,AGO,IRQ,0.0
561,AGO,ISL,0.0
562,AGO,ISR,0.0
563,AGO,ITA,0.0
564,AGO,JAM,0.0
565,AGO,JOR,0.0
566,AGO,JPN,0.0
567,AGO,KAZ,0.0
568,AGO,KEN,0.0
569,AGO,KGZ,0.0
570,AGO,KHM,0.0
571,AGO,KIR,0.0
572,AGO,KNA,0.0
573,AGO,KOR,0.0
574,AGO,KWT,0.0
575,AGO,LAO,0.0
576,AGO,LBN,0.0
577,AGO,LBR,0.0
578,AGO,LBY,0.0
579,AGO,LCA,0.0
580,AGO,LIE,0.0
581,AGO,LKA,0.0
582,AGO,LSO,0.0
583,AGO,LTU,0.0
584,AGO,LUX,0.0
585,AGO,LVA,0.0
586,AGO,MAC,0.0
587,AGO,MAR,0.0
588,AGO,MCO,0.0
589,AGO,MDA,0.0
590,AGO,MDG,0.0
591,AGO,MDV,0.0
592,AGO,MEX,0.0
593,AGO,MHL,0.0
594,AGO,MKD,0.0
595,AGO,MLI,0.0
596,AGO,MLT,0.0
597,AGO,MMR,0.0
598,AGO,MNE,0.0
599,AGO,MNG,0.0
600,AGO,MNP,0.0
601,AGO,MOZ,0.0
602,AGO,MRT,0.0
603,AGO,MSR,0.0
604,AGO,MTQ,0.0
605,AGO,MUS,0.0
606,AGO,MWI,0.0
607,AGO,MYS,0.0
608,AGO,MYT,0.0
609,AGO,NAM,0.0
610,AGO,NCL,0.0
611,AGO,NER,0.0
612,AGO,NGA,0.0
613,AGO,NIC,0.0
614,AGO,NIU,0.0
615,AGO,NLD,0.0
616,AGO,NOR,0.0
617,AGO,NPL,0.0
618,AGO,NRU,0.0
619,AGO,NZL,0.0
620,AGO,OMN,0.0
621,AGO,PAK,0.0
622,AGO,PAN,0.0
623,AGO,PER,0.0
624,AGO,PHL,0.0
625,AGO,PLW,0.0
626,AGO,PNG,0.0
627,AGO,POL,0.0
628,AGO,PRI,0.0
629,AGO,PRK,0.0
630,AGO,PRT,1.0
631,AGO,PRY,0.0
632,AGO,PSE,0.0
633,AGO,PYF,0.0
634,AGO,QAT,0.0
635,AGO,REU,0.0
636,AGO,ROU,0.0
637,AGO,RUS,0.0
638,AGO,RWA,0.0
639,AGO,SAU,0.0
640,AGO,SDN,0.0
641,AGO,SEN,0.0
642,AGO,SGP,0.0
643,AGO,SHN,0.0
644,AGO,SLB,0.0
645,AGO,SLE,0.0
646,AGO,SLV,0.0
647,AGO,SMR,0.0
648,AGO,SOM,0.0
649,AGO,SPM,0.0
650,AGO,SRB,0.0
651,AGO,SSD,0.0
652,AGO,STP,0.0
653,AGO,SUR,0.0
654,AGO,SVK,0.0
655,AGO,SVN,0.0
656,AGO,SWE,0.0
657,AGO,SWZ,0.0
658,AGO,SXM,0.0
659,AGO,SYC,0.0
660,AGO,SYR,0.0
661,AGO,TCA,0.0
662,AGO,TCD,0.0
663,AGO,TGO,0.0
664,AGO,THA,0.0
665,AGO,TJK,0.0
666,AGO,TKL,0.0
667,AGO,TKM,0.0
668,AGO,TLS,0.0
669,AGO,TON,0.0
670,AGO,TTO,0.0
671,AGO,TUN,0.0
672,AGO,TUR,0.0
673,AGO,TUV,0.0
674,AGO,TWN,0.0
675,AGO,TZA,0.0
676,AGO,UGA,0.0
677,AGO,UKR,0.0
678,AGO,URY,0.0
679,AGO,USA,0.0
680,AGO,UZB,0.0
681,AGO,VCT,0.0
682,AGO,VEN,0.0
683,AGO,VGB,0.0
684,AGO,VIR,0.0
685,AGO,VNM,0.0
686,AGO,VUT,0.0
687,AGO,WLF,0.0
688,AGO,WSM,0.0
689,AGO,YEM,0.0
690,AGO,ZAF,0.0
691,AGO,ZMB,0.0
692,AGO,ZWE,0.0
693,AIA,ABW,0.0
694,AIA,AFG,0.0
695,AIA,AGO,0.0
696,AIA,AIA,0.0
697,AIA,ALB,0.0
698,AIA,AND,0.0
699,AIA,ARE,0.0
700,AIA,ARG,0.0
701,AIA,ARM,0.0
702,AIA,ASM,0.0
703,AIA,ATG,0.0
704,AIA,AUS,0.0
705,AIA,AUT,0.0
706,AIA,AZE,0.0
707,AIA,BDI,0.0
708,AIA,BEL,0.0
709,AIA,BEN,0.0
710,AIA,BES,0.0
711,AIA,BFA,0.0
712,AIA,BGD,0.0
713,AIA,BGR,0.0
714,AIA,BHR,0.0
715,AIA,BHS,0.0
716,AIA,BIH,0.0
717,AIA,BLR,0.0
718,AIA,BLZ,0.0
719,AIA,BMU,0.0
720,AIA,BOL,0.0
721,AIA,BRA,0.0
722,AIA,BRB,0.0
723,AIA,BRN,0.0
724,AIA,BTN,0.0
725,AIA,BWA,0.0
726,AIA,CAF,0.0
727,AIA,CAN,0.0
728,AIA,CHE,0.0
729,AIA,CHL,0.0
730,AIA,CHN,0.0
731,AIA,CIV,0.0
732,AIA,CMR,0.0
733,AIA,COD,0.0
734,AIA,COG,0.0
735,AIA,COK,0.0
736,AIA,COL,0.0
737,AIA,COM,0.0
738,AIA,CPV,0.0
739,AIA,CRI,0.0
740,AIA,CUB,0.0
741,AIA,CUW,0.0
742,AIA,CYM,0.0
743,AIA,CYP,0.0
744,AIA,CZE,0.0
745,AIA,DEU,0.0
746,AIA,DJI,0.0
747,AIA,DMA,0.0
748,AIA,DNK,0.0
749,AIA,DOM,0.0
750,AIA,DZA,0.0
751,AIA,ECU,0.0
752,AIA,EGY,0.0
753,AIA,ERI,0.0
754,AIA,ESH,0.0
755,AIA,ESP,0.0
756,AIA,EST,0.0
757,AIA,ETH,0.0
758,AIA,FIN,0.0
759,AIA,FJI,0.0
760,AIA,FLK,0.0
761,AIA,FRA,0.0
762,AIA,FRO,0.0
763,AIA,FSM,0.0
764,AIA,GAB,0.0
765,AIA,GBR,1.0
766,AIA,GEO,0.0
767,AIA,GHA,0.0
768,AIA,GIB,0.0
769,AIA,GIN,0.0
770,AIA,GLP,0.0
771,AIA,GMB,0.0
772,AIA,GNB,0.0
773,AIA,GNQ,0.0
774,AIA,GRC,0.0
775,AIA,GRD,0.0
776,AIA,GRL,0.0
777,AIA,GTM,0.0
778,AIA,GUF,0.0
779,AIA,GUM,0.0
780,AIA,GUY,0.0
781,AIA,HKG,0.0
782,AIA,HND,0.0
783,AIA,HRV,0.0
784,AIA,HTI,0.0
785,AIA,HUN,0.0
786,AIA,IDN,0.0
787,AIA,IMN,0.0
788,AIA,IND,0.0
789,AIA,IRL,0.0
790,AIA,IRN,0.0
791,AIA,IRQ,0.0
792,AIA,ISL,0.0
793,AIA,ISR,0.0
794,AIA,ITA,0.0
795,AIA,JAM,0.0
796,AIA,JOR,0.0
797,AIA,JPN,0.0
798,AIA,KAZ,0.0
799,AIA,KEN,0.0
800,AIA,KGZ,0.0
801,AIA,KHM,0.0
802,AIA,KIR,0.0
803,AIA,KNA,1.0
804,AIA,KOR,0.0
805,AIA,KWT,0.0
806,AIA,LAO,0.0
807,AIA,LBN,0.0
808,AIA,LBR,0.0
809,AIA,LBY,0.0
810,AIA,LCA,0.0
811,AIA,LIE,0.0
812,AIA,LKA,0.0
813,AIA,LSO,0.0
814,AIA,LTU,0.0
815,AIA,LUX,0.0
816,AIA,LVA,0.0
817,AIA,MAC,0.0
818,AIA,MAR,0.0
819,AIA,MCO,0.0
820,AIA,MDA,0.0
821,AIA,MDG,0.0
822,AIA,MDV,0.0
823,AIA,MEX,0.0
824,AIA,MHL,0.0
825,AIA,MKD,0.0
826,AIA,MLI,0.0
827,AIA,MLT,0.0
828,AIA,MMR,0.0
829,AIA,MNE,0.0
830,AIA,MNG,0.0
831,AIA,MNP,0.0
832,AIA,MOZ,0.0
833,AIA,MRT,0.0
834,AIA,MSR,0.0
835,AIA,MTQ,0.0
836,AIA,MUS,0.0
837,AIA,MWI,0.0
838,AIA,MYS,0.0
839,AIA,MYT,0.0
840,AIA,NAM,0.0
841,AIA,NCL,0.0
842,AIA,NER,0.0
843,AIA,NGA,0.0
844,AIA,NIC,0.0
845,AIA,NIU,0.0
846,AIA,NLD,0.0
847,AIA,NOR,0.0
848,AIA,NPL,0.0
849,AIA,NRU,0.0
850,AIA,NZL,0.0
851,AIA,OMN,0.0
852,AIA,PAK,0.0
853,AIA,PAN,0.0
854,AIA,PER,0.0
855,AIA,PHL,0.0
856,AIA,PLW,0.0
857,AIA,PNG,0.0
858,AIA,POL,0.0
859,AIA,PRI,0.0
860,AIA,PRK,0.0
861,AIA,PRT,0.0
862,AIA,PRY,0.0
863,AIA,PSE,0.0
864,AIA,PYF,0.0
865,AIA,QAT,0.0
866,AIA,REU,0.0
867,AIA,ROU,0.0
868,AIA,RUS,0.0
869,AIA,RWA,0.0
870,AIA,SAU,0.0
871,AIA,SDN,0.0
872,AIA,SEN,0.0
873,AIA,SGP,0.0
874,AIA,SHN,0.0
875,AIA,SLB,0.0
876,AIA,SLE,0.0
877,AIA,SLV,0.0
878,AIA,SMR,0.0
879,AIA,SOM,0.0
880,AIA,SPM,0.0
881,AIA,SRB,0.0
882,AIA,SSD,0.0
883,AIA,STP,0.0
884,AIA,SUR,0.0
885,AIA,SVK,0.0
886,AIA,SVN,0.0
887,AIA,SWE,0.0
888,AIA,SWZ,0.0
889,AIA,SXM,0.0
890,AIA,SYC,0.0
891,AIA,SYR,0.0
892,AIA,TCA,0.0
893,AIA,TCD,0.0
894,AIA,TGO,0.0
895,AIA,THA,0.0
896,AIA,TJK,0.0
897,AIA,TKL,0.0
898,AIA,TKM,0.0
899,AIA,TLS,0.0
900,AIA,TON,0.0
901,AIA,TTO,0.0
902,AIA,TUN,0.0
903,AIA,TUR,0.0
904,AIA,TUV,0.0
905,AIA,TWN,0.0
906,AIA,TZA,0.0
907,AIA,UGA,0.0
908,AIA,UKR,0.0
909,AIA,URY,0.0
910,AIA,USA,0.0
911,AIA,UZB,0.0
912,AIA,VCT,0.0
913,AIA,VEN,0.0
914,AIA,VGB,0.0
915,AIA,VIR,0.0
916,AIA,VNM,0.0
917,AIA,VUT,0.0
918,AIA,WLF,0.0
919,AIA,WSM,0.0
920,AIA,YEM,0.0
921,AIA,ZAF,0.0
922,AIA,ZMB,0.0
923,AIA,ZWE,0.0
924,ALB,ABW,0.0
925,ALB,AFG,0.0
926,ALB,AGO,0.0
927,ALB,AIA,0.0
928,ALB,ALB,0.0
929,ALB,AND,0.0
930,ALB,ARE,0.0
931,ALB,ARG,0.0
932,ALB,ARM,0.0
933,ALB,ASM,0.0
934,ALB,ATG,0.0
935,ALB,AUS,0.0
936,ALB,AUT,0.0
937,ALB,AZE,0.0
938,ALB,BDI,0.0
939,ALB,BEL,0.0
940,ALB,BEN,0.0
941,ALB,BES,0.0
942,ALB,BFA,0.0
943,ALB,BGD,0.0
944,ALB,BGR,0.0
945,ALB,BHR,0.0
946,ALB,BHS,0.0
947,ALB,BIH,0.0
948,ALB,BLR,0.0
949,ALB,BLZ,0.0
950,ALB,BMU,0.0
951,ALB,BOL,0.0
952,ALB,BRA,0.0
953,ALB,BRB,0.0
954,ALB,BRN,0.0
955,ALB,BTN,0.0
956,ALB,BWA,0.0
957,ALB,CAF,0.0
958,ALB,CAN,0.0
959,ALB,CHE,0.0
960,ALB,CHL,0.0
961,ALB,CHN,0.0
962,ALB,CIV,0.0
963,ALB,CMR,0.0
964,ALB,COD,0.0
965,ALB,COG,0.0
966,ALB,COK,0.0
967,ALB,COL,0.0
968,ALB,COM,0.0
969,ALB,CPV,0.0
970,ALB,CRI,0.0
971,ALB,CUB,0.0
972,ALB,CUW,0.0
973,ALB,CYM,0.0
974,ALB,CYP,0.0
975,ALB,CZE,0.0
976,ALB,DEU,0.0
977,ALB,DJI,0.0
978,ALB,DMA,0.0
979,ALB,DNK,0.0
980,ALB,DOM,0.0
981,ALB,DZA,0.0
982,ALB,ECU,0.0
983,ALB,EGY,0.0
984,ALB,ERI,0.0
985,ALB,ESH,0.0
986,ALB,ESP,0.0
987,ALB,EST,0.0
988,ALB,ETH,0.0
989,ALB,FIN,0.0
990,ALB,FJI,0.0
991,ALB,FLK,0.0
992,ALB,FRA,0.0
993,ALB,FRO,0.0
994,ALB,FSM,0.0
995,ALB,GAB,0.0
996,ALB,GBR,0.0
997,ALB,GEO,0.0
998,ALB,GHA,0.0
