,Origin ISO,Destination ISO,distw_harmonic
368,AFG,MNG,3528.848484848485
369,AFG,MNP,7947.636363636364
370,AFG,MOZ,7179.030303030303
371,AFG,MRT,8366.151515151516
372,AFG,MSR,12287.09090909091
373,AFG,MTQ,12381.787878787878
374,AFG,MUS,6140.454545454545
375,AFG,MWI,6515.666666666667
376,AFG,MYS,4994.393939393939
377,AFG,MYT,5752.181818181818
378,AFG,NAM,8293.575757575758
379,AFG,NCL,12109.60606060606
380,AFG,NER,6821.30303030303
381,AFG,NGA,6962.939393939394
382,AFG,NIC,14188.0
383,AFG,NIU,14086.545454545454
384,AFG,NLD,5314.575757575758
385,AFG,NOR,4969.606060606061
386,AFG,NPL,1758.2424242424242
387,AFG,NRU,10851.030303030304
388,AFG,NZL,13588.969696969696
389,AFG,OMN,1611.5151515151515
390,AFG,PAK,647.939393939394
391,AFG,PAN,14119.030303030304
392,AFG,PER,15628.757575757576
393,AFG,PHL,5883.787878787879
394,AFG,PLW,7384.212121212121
395,AFG,PNG,9609.242424242424
396,AFG,POL,4323.939393939394
397,AFG,PRI,12424.878787878788
398,AFG,PRK,5132.909090909091
399,AFG,PRT,6673.121212121212
400,AFG,PRY,14720.939393939394
401,AFG,PSE,3137.787878787879
402,AFG,PYF,15844.181818181818
403,AFG,QAT,1877.1818181818182
404,AFG,REU,6261.575757575758
405,AFG,ROU,3786.212121212121
406,AFG,RUS,2982.1612903225805
407,AFG,RWA,5649.787878787879
408,AFG,SAU,2574.5454545454545
409,AFG,SDN,4122.787878787879
410,AFG,SEN,8692.333333333334
411,AFG,SGP,5213.30303030303
412,AFG,SHN,9576.848484848484
413,AFG,SLB,10763.575757575758
414,AFG,SLE,8688.545454545454
415,AFG,SLV,14167.272727272728
416,AFG,SMR,4827.969696969697
417,AFG,SOM,4127.969696969697
418,AFG,SPM,9433.848484848484
419,AFG,SRB,4181.8125
420,AFG,SSD,4979.909090909091
421,AFG,STP,7390.424242424242
422,AFG,SUR,12588.848484848484
423,AFG,SVK,4443.793103448276
424,AFG,SVN,4645.612903225807
425,AFG,SWE,4656.666666666667
426,AFG,SWZ,7767.181818181818
427,AFG,SXM,12238.25
428,AFG,SYC,4516.424242424242
429,AFG,SYR,2830.3333333333335
430,AFG,TCA,12474.39393939394
431,AFG,TCD,5879.606060606061
432,AFG,TGO,7507.787878787879
433,AFG,THA,3973.030303030303
434,AFG,TJK,458.1290322580645
435,AFG,TKL,13398.30303030303
436,AFG,TKM,938.1612903225806
437,AFG,TLS,7685.8
438,AFG,TON,13711.212121212122
439,AFG,TTO,12730.212121212122
440,AFG,TUN,5173.606060606061
441,AFG,TUR,3225.6060606060605
442,AFG,TUV,12474.818181818182
443,AFG,TWN,5196.939393939394
444,AFG,TZA,5510.242424242424
445,AFG,UGA,5276.121212121212
446,AFG,UKR,3247.4193548387098
447,AFG,URY,14979.727272727272
448,AFG,USA,11592.575757575758
449,AFG,UZB,763.2903225806451
450,AFG,VCT,12509.545454545454
451,AFG,VEN,13246.212121212122
452,AFG,VGB,12320.121212121212
453,AFG,VIR,12320.121212121212
454,AFG,VNM,4471.606060606061
455,AFG,VUT,12020.939393939394
456,AFG,WLF,13185.333333333334
457,AFG,WSM,13621.969696969696
458,AFG,YEM,3233.878787878788
459,AFG,ZAF,8212.818181818182
460,AFG,ZMB,6842.757575757576
461,AFG,ZWE,7081.424242424242
462,AGO,ABW,9582.363636363636
463,AGO,AFG,7531.909090909091
464,AGO,AGO,0.0
465,AGO,AIA,8983.0
466,AGO,ALB,5693.393939393939
467,AGO,AND,5920.969696969697
468,AGO,ARE,5922.151515151515
469,AGO,ARG,7926.242424242424
470,AGO,ARM,6377.903225806452
471,AGO,ASM,17284.848484848484
472,AGO,ATG,8829.272727272728
473,AGO,AUS,12848.212121212122
474,AGO,AUT,6429.242424242424
475,AGO,AZE,6666.1612903225805
476,AGO,BDI,1879.3030303030303
477,AGO,BEL,6779.636363636364
478,AGO,BEN,2246.878787878788
479,AGO,BES,9386.666666666666
480,AGO,BFA,2989.3030303030305
481,AGO,BGD,9128.878787878788
482,AGO,BGR,5912.848484848485
483,AGO,BHR,5640.060606060606
484,AGO,BHS,10578.09090909091
485,AGO,BIH,5954.6
486,AGO,BLR,7158.354838709677
487,AGO,BLZ,11651.878787878788
488,AGO,BMU,9527.727272727272
489,AGO,BOL,8623.787878787878
490,AGO,BRA,6388.727272727273
491,AGO,BRB,8491.515151515152
492,AGO,BRN,11336.212121212122
493,AGO,BTN,9151.515151515152
494,AGO,BWA,2060.848484848485
495,AGO,CAF,1643.5454545454545
496,AGO,CAN,11465.242424242424
497,AGO,CHE,6323.69696969697
498,AGO,CHL,8931.30303030303
499,AGO,CHN,11646.454545454546
500,AGO,CIV,2607.4242424242425
501,AGO,CMR,1585.6969696969697
502,AGO,COD,804.3333333333334
503,AGO,COG,540.6363636363636
504,AGO,COK,16486.939393939392
505,AGO,COL,9966.848484848484
506,AGO,COM,3235.909090909091
507,AGO,CPV,4933.727272727273
508,AGO,CRI,11050.272727272728
509,AGO,CUB,10894.515151515152
510,AGO,CUW,9457.060606060606
511,AGO,CYM,10902.181818181818
512,AGO,CYP,5388.909090909091
513,AGO,CZE,6607.137931034483
514,AGO,DEU,6785.666666666667
515,AGO,DJI,4029.121212121212
516,AGO,DMA,8734.333333333334
517,AGO,DNK,7256.424242424242
518,AGO,DOM,9714.818181818182
519,AGO,DZA,5222.424242424242
520,AGO,ECU,10323.636363636364
521,AGO,EGY,4801.424242424242
522,AGO,ERI,3933.103448275862
523,AGO,ESH,5012.575757575758
524,AGO,ESP,5764.060606060606
525,AGO,EST,7736.709677419355
526,AGO,ETH,3524.969696969697
527,AGO,FIN,7847.878787878788
528,AGO,FJI,16481.78787878788
529,AGO,FLK,7882.454545454545
530,AGO,FRA,6408.181818181818
531,AGO,FRO,8158.121212121212
532,AGO,FSM,16099.212121212122
533,AGO,GAB,1182.6060606060605
534,AGO,GBR,7078.30303030303
535,AGO,GEO,6528.419354838709
536,AGO,GHA,2384.909090909091
537,AGO,GIB,5461.181818181818
538,AGO,GIN,3710.212121212121
539,AGO,GLP,8787.484848484848
540,AGO,GMB,4228.181818181818
541,AGO,GNB,4030.242424242424
542,AGO,GNQ,1327.5757575757575
543,AGO,GRC,5439.575757575758
544,AGO,GRD,8690.69696969697
545,AGO,GRL,9834.636363636364
546,AGO,GTM,11809.515151515152
547,AGO,GUF,7505.212121212121
548,AGO,GUM,14682.666666666666
549,AGO,GUY,8179.212121212121
550,AGO,HKG,11493.515151515152
551,AGO,HND,11486.0
552,AGO,HRV,6159.677419354839
553,AGO,HTI,9948.969696969696
554,AGO,HUN,6367.242424242424
555,AGO,IDN,10404.818181818182
556,AGO,IMN,7078.30303030303
557,AGO,IND,7831.121212121212
558,AGO,IRL,7246.272727272727
559,AGO,IRN,6355.878787878788
560,AGO,IRQ,5809.424242424242
561,AGO,ISL,8729.454545454546
562,AGO,ISR,5153.939393939394
563,AGO,ITA,5865.181818181818
564,AGO,JAM,10403.151515151516
565,AGO,JOR,5202.0
566,AGO,JPN,13652.333333333334
567,AGO,KAZ,8626.967741935483
568,AGO,KEN,2752.939393939394
569,AGO,KGZ,8482.0
570,AGO,KHM,10360.424242424242
571,AGO,KIR,17538.515151515152
572,AGO,KNA,8924.818181818182
573,AGO,KOR,12776.060606060606
574,AGO,KWT,5684.787878787879
575,AGO,LAO,10230.90909090909
576,AGO,LBN,5356.727272727273
577,AGO,LBR,3247.3939393939395
578,AGO,LBY,4698.606060606061
579,AGO,LCA,8659.515151515152
580,AGO,LIE,6318.575757575758
581,AGO,LKA,7562.30303030303
582,AGO,LSO,2566.0
583,AGO,LTU,7226.096774193548
584,AGO,LUX,6621.575757575758
585,AGO,LVA,7457.064516129032
586,AGO,MAC,11426.757575757576
587,AGO,MAR,5273.727272727273
588,AGO,MCO,5959.757575757576
589,AGO,MDA,6466.4838709677415
590,AGO,MDG,3785.909090909091
591,AGO,MDV,6808.636363636364
592,AGO,MEX,12896.272727272728
593,AGO,MHL,17544.121212121212
594,AGO,MKD,5785.774193548387
595,AGO,MLI,3413.5151515151515
596,AGO,MLT,5055.424242424242
