,Origin ISO,Destination ISO,Religious similarity
837,AIA,MWI,0.9220027
838,AIA,MYS,0.09723230000000001
839,AIA,MYT,0.0
840,AIA,NAM,1.1802842
841,AIA,NCL,0.78
842,AIA,NER,0.04381620000000001
843,AIA,NGA,0.5096190999999999
844,AIA,NIC,1.0376990000000001
845,AIA,NIU,1.192393
846,AIA,NLD,0.7005530999999999
847,AIA,NOR,1.3628558000000002
848,AIA,NPL,0.015537100000000002
849,AIA,NRU,1.3801622
850,AIA,NZL,0.6812373
851,AIA,OMN,0.0338604
852,AIA,PAK,0.0218519
853,AIA,PAN,1.0834506
854,AIA,PER,1.002164
855,AIA,PHL,0.9520455000000001
856,AIA,PLW,0.9607391
857,AIA,PNG,1.343564
858,AIA,POL,0.8903276
859,AIA,PRI,1.09269
860,AIA,PRK,0.0460498
861,AIA,PRT,0.8472386000000001
862,AIA,PRY,0.9593769999999999
863,AIA,PSE,0.013923000000000001
864,AIA,PYF,1.18278
865,AIA,QAT,0.14433390000000001
866,AIA,REU,0.8410799999999999
867,AIA,ROU,0.9362665000000001
868,AIA,RUS,0.693095
869,AIA,RWA,1.0559450000000001
870,AIA,SAU,0.030240000000000003
871,AIA,SDN,0.08173860000000001
872,AIA,SEN,0.0354039
873,AIA,SGP,0.22196600000000002
874,AIA,SHN,1.3519640000000002
875,AIA,SLB,1.185134
876,AIA,SLE,0.2427049
877,AIA,SLV,1.0303170000000001
878,AIA,SMR,0.8502061000000001
879,AIA,SOM,0.0006303
880,AIA,SPM,0.9682200000000001
881,AIA,SRB,0.826575
882,AIA,SSD,0.55055
883,AIA,STP,0.9908659000000001
884,AIA,SUR,0.636768
885,AIA,SVK,0.7989200000000001
886,AIA,SVN,0.67134
887,AIA,SWE,1.2036762000000003
888,AIA,SWZ,0.9718897
889,AIA,SXM,1.08141
890,AIA,SYC,0.95718
891,AIA,SYR,0.07298900000000001
892,AIA,TCA,1.34791
893,AIA,TCD,0.4249907
894,AIA,TGO,0.5400525
895,AIA,THA,0.008213600000000001
896,AIA,TJK,0.019507
897,AIA,TKL,1.2488519999999999
898,AIA,TKM,0.08235
899,AIA,TLS,0.9685755
900,AIA,TON,1.2312372
901,AIA,TTO,0.7473162999999999
902,AIA,TUN,0.0034435000000000004
903,AIA,TUR,0.0048519
904,AIA,TUV,1.5863172
905,AIA,TWN,0.04368
906,AIA,TZA,0.5726744
907,AIA,UGA,0.9215812999999999
908,AIA,UKR,0.8034140000000001
909,AIA,URY,0.8902743999999999
910,AIA,USA,0.9957571
911,AIA,UZB,0.04739550000000001
912,AIA,VCT,1.0632290000000002
913,AIA,VEN,1.0306754999999999
914,AIA,VGB,1.2903209999999998
915,AIA,VIR,1.3646310000000001
916,AIA,VNM,0.14367000000000002
917,AIA,VUT,1.2417594999999997
918,AIA,WLF,0.9682200000000001
919,AIA,WSM,1.4258091999999998
920,AIA,YEM,0.0
